r,type,scenario,ID,condition,anty,anti_needed
1,NN,NOTNEED1_1.1,sj1,1,0,0
1,NN,NOTNEED2_1.1,sj1,1,0,0
1,NN,NOTNEED3_1.1,sj1,1,0,0
1,NN,NOTNEED4_1.1,sj1,1,0,0
1,NN,NOTNEED5_1.1,sj1,1,0,0
1,NN,NOTNEED6_1.1,sj1,1,0,0
1,UN,UNCNOT1_1.1,sj1,1,0,0
1,UN,UNCNOT2_1.1,sj1,1,0,0
1,UN,UNCNOT3_1.1,sj1,1,0,0
1,UN,UNCNOT4_1.1,sj1,1,0,0
1,UN,UNCNOT5_1.1,sj1,1,0,0
1,UN,UNCNOT6_1.1,sj1,1,0,0
2,UY,UNCNEED3_1.1,sj1,1,1,1
2,UY,UNCNEED5_1.1,sj1,1,1,1
2,YY,NEED3_1.1,sj1,1,1,1
2,YY,NEED5_1.1,sj1,1,1,1
1,NN,NOTNEED1_1.1,sj2,1,0,0
1,NN,NOTNEED2_1.1,sj2,1,0,0
1,NN,NOTNEED3_1.1,sj2,1,0,0
1,NN,NOTNEED4_1.1,sj2,1,0,0
1,NN,NOTNEED5_1.1,sj2,1,0,0
1,NN,NOTNEED6_1.1,sj2,1,0,0
1,UN,UNCNOT1_1.1,sj2,1,0,0
1,UN,UNCNOT2_1.1,sj2,1,0,0
1,UN,UNCNOT3_1.1,sj2,1,0,0
1,UN,UNCNOT4_1.1,sj2,1,0,0
1,UN,UNCNOT5_1.1,sj2,1,0,0
1,UN,UNCNOT6_1.1,sj2,1,0,0
2,UY,UNCNEED3_1.1,sj2,1,1,1
2,UY,UNCNEED5_1.1,sj2,1,1,1
2,YY,NEED3_1.1,sj2,1,1,1
1,YY,NEED5_1.1,sj2,1,0,1
1,NN,NOTNEED1_1,sj3,0,0,0
1,NN,NOTNEED2_1,sj3,0,0,0
1,NN,NOTNEED3_1,sj3,0,0,0
1,NN,NOTNEED4_1,sj3,0,0,0
1,NN,NOTNEED5_1,sj3,0,0,0
1,NN,NOTNEED6_1,sj3,0,0,0
1,UN,UNCNOT1_1,sj3,0,0,0
1,UN,UNCNOT2_1,sj3,0,0,0
2,UN,UNCNOT3_1,sj3,0,1,0
1,UN,UNCNOT4_1,sj3,0,0,0
2,UN,UNCNOT5_1,sj3,0,1,0
2,UN,UNCNOT6_1,sj3,0,1,0
2,UY,UNCNEED3_1,sj3,0,1,1
2,UY,UNCNEED5_1,sj3,0,1,1
2,YY,NEED3_1,sj3,0,1,1
2,YY,NEED5_1,sj3,0,1,1
1,NN,NOTNEED1_1,sj4,0,0,0
1,NN,NOTNEED2_1,sj4,0,0,0
1,NN,NOTNEED3_1,sj4,0,0,0
1,NN,NOTNEED4_1,sj4,0,0,0
1,NN,NOTNEED5_1,sj4,0,0,0
1,NN,NOTNEED6_1,sj4,0,0,0
1,UN,UNCNOT1_1,sj4,0,0,0
1,UN,UNCNOT2_1,sj4,0,0,0
1,UN,UNCNOT3_1,sj4,0,0,0
1,UN,UNCNOT4_1,sj4,0,0,0
2,UN,UNCNOT5_1,sj4,0,1,0
2,UN,UNCNOT6_1,sj4,0,1,0
2,UY,UNCNEED3_1,sj4,0,1,1
2,UY,UNCNEED5_1,sj4,0,1,1
2,YY,NEED3_1,sj4,0,1,1
2,YY,NEED5_1,sj4,0,1,1
1,NN,NOTNEED1_1.2,sj5,2,0,0
1,NN,NOTNEED2_1.2,sj5,2,0,0
1,NN,NOTNEED3_1.2,sj5,2,0,0
1,NN,NOTNEED4_1.2,sj5,2,0,0
1,NN,NOTNEED5_1.2,sj5,2,0,0
1,NN,NOTNEED6_1.2,sj5,2,0,0
1,UN,UNCNOT1_1.2,sj5,2,0,0
1,UN,UNCNOT2_1.2,sj5,2,0,0
1,UN,UNCNOT3_1.2,sj5,2,0,0
1,UN,UNCNOT4_1.2,sj5,2,0,0
1,UN,UNCNOT5_1.2,sj5,2,0,0
1,UN,UNCNOT6_1.2,sj5,2,0,0
2,UY,UNCNEED3_1.2,sj5,2,1,1
2,UY,UNCNEED5_1.2,sj5,2,1,1
2,YY,NEED3_1.2,sj5,2,1,1
2,YY,NEED5_1.2,sj5,2,1,1
1,NN,NOTNEED1_1.1,sj6,1,0,0
1,NN,NOTNEED2_1.1,sj6,1,0,0
1,NN,NOTNEED3_1.1,sj6,1,0,0
1,NN,NOTNEED4_1.1,sj6,1,0,0
1,NN,NOTNEED5_1.1,sj6,1,0,0
1,NN,NOTNEED6_1.1,sj6,1,0,0
1,UN,UNCNOT1_1.1,sj6,1,0,0
1,UN,UNCNOT2_1.1,sj6,1,0,0
1,UN,UNCNOT3_1.1,sj6,1,0,0
1,UN,UNCNOT4_1.1,sj6,1,0,0
1,UN,UNCNOT5_1.1,sj6,1,0,0
1,UN,UNCNOT6_1.1,sj6,1,0,0
1,UY,UNCNEED3_1.1,sj6,1,0,1
2,UY,UNCNEED5_1.1,sj6,1,1,1
2,YY,NEED3_1.1,sj6,1,1,1
2,YY,NEED5_1.1,sj6,1,1,1
1,NN,NOTNEED1_1,sj7,0,0,0
1,NN,NOTNEED2_1,sj7,0,0,0
1,NN,NOTNEED3_1,sj7,0,0,0
1,NN,NOTNEED4_1,sj7,0,0,0
1,NN,NOTNEED5_1,sj7,0,0,0
1,NN,NOTNEED6_1,sj7,0,0,0
1,UN,UNCNOT1_1,sj7,0,0,0
1,UN,UNCNOT2_1,sj7,0,0,0
1,UN,UNCNOT3_1,sj7,0,0,0
1,UN,UNCNOT4_1,sj7,0,0,0
1,UN,UNCNOT5_1,sj7,0,0,0
1,UN,UNCNOT6_1,sj7,0,0,0
1,UY,UNCNEED3_1,sj7,0,0,1
1,UY,UNCNEED5_1,sj7,0,0,1
2,YY,NEED3_1,sj7,0,1,1
2,YY,NEED5_1,sj7,0,1,1
1,NN,NOTNEED1_1.2,sj8,2,0,0
1,NN,NOTNEED2_1.2,sj8,2,0,0
1,NN,NOTNEED3_1.2,sj8,2,0,0
1,NN,NOTNEED4_1.2,sj8,2,0,0
1,NN,NOTNEED5_1.2,sj8,2,0,0
1,NN,NOTNEED6_1.2,sj8,2,0,0
1,UN,UNCNOT1_1.2,sj8,2,0,0
1,UN,UNCNOT2_1.2,sj8,2,0,0
1,UN,UNCNOT3_1.2,sj8,2,0,0
1,UN,UNCNOT4_1.2,sj8,2,0,0
1,UN,UNCNOT5_1.2,sj8,2,0,0
1,UN,UNCNOT6_1.2,sj8,2,0,0
2,UY,UNCNEED3_1.2,sj8,2,1,1
2,UY,UNCNEED5_1.2,sj8,2,1,1
2,YY,NEED3_1.2,sj8,2,1,1
2,YY,NEED5_1.2,sj8,2,1,1
1,NN,NOTNEED1_1,sj9,0,0,0
1,NN,NOTNEED2_1,sj9,0,0,0
1,NN,NOTNEED3_1,sj9,0,0,0
1,NN,NOTNEED4_1,sj9,0,0,0
1,NN,NOTNEED5_1,sj9,0,0,0
1,NN,NOTNEED6_1,sj9,0,0,0
1,UN,UNCNOT1_1,sj9,0,0,0
1,UN,UNCNOT2_1,sj9,0,0,0
1,UN,UNCNOT3_1,sj9,0,0,0
1,UN,UNCNOT4_1,sj9,0,0,0
1,UN,UNCNOT5_1,sj9,0,0,0
1,UN,UNCNOT6_1,sj9,0,0,0
2,UY,UNCNEED3_1,sj9,0,1,1
2,UY,UNCNEED5_1,sj9,0,1,1
2,YY,NEED3_1,sj9,0,1,1
2,YY,NEED5_1,sj9,0,1,1
1,NN,NOTNEED1_1.2,sj10,2,0,0
1,NN,NOTNEED2_1.2,sj10,2,0,0
1,NN,NOTNEED3_1.2,sj10,2,0,0
1,NN,NOTNEED4_1.2,sj10,2,0,0
1,NN,NOTNEED5_1.2,sj10,2,0,0
1,NN,NOTNEED6_1.2,sj10,2,0,0
1,UN,UNCNOT1_1.2,sj10,2,0,0
1,UN,UNCNOT2_1.2,sj10,2,0,0
1,UN,UNCNOT3_1.2,sj10,2,0,0
1,UN,UNCNOT4_1.2,sj10,2,0,0
1,UN,UNCNOT5_1.2,sj10,2,0,0
1,UN,UNCNOT6_1.2,sj10,2,0,0
2,UY,UNCNEED3_1.2,sj10,2,1,1
2,UY,UNCNEED5_1.2,sj10,2,1,1
2,YY,NEED3_1.2,sj10,2,1,1
2,YY,NEED5_1.2,sj10,2,1,1
1,NN,NOTNEED1_1,sj11,0,0,0
1,NN,NOTNEED2_1,sj11,0,0,0
1,NN,NOTNEED3_1,sj11,0,0,0
1,NN,NOTNEED4_1,sj11,0,0,0
1,NN,NOTNEED5_1,sj11,0,0,0
1,NN,NOTNEED6_1,sj11,0,0,0
1,UN,UNCNOT1_1,sj11,0,0,0
1,UN,UNCNOT2_1,sj11,0,0,0
2,UN,UNCNOT3_1,sj11,0,1,0
2,UN,UNCNOT4_1,sj11,0,1,0
2,UN,UNCNOT5_1,sj11,0,1,0
2,UN,UNCNOT6_1,sj11,0,1,0
2,UY,UNCNEED3_1,sj11,0,1,1
2,UY,UNCNEED5_1,sj11,0,1,1
2,YY,NEED3_1,sj11,0,1,1
2,YY,NEED5_1,sj11,0,1,1
1,NN,NOTNEED1_1,sj12,0,0,0
1,NN,NOTNEED2_1,sj12,0,0,0
1,NN,NOTNEED3_1,sj12,0,0,0
1,NN,NOTNEED4_1,sj12,0,0,0
1,NN,NOTNEED5_1,sj12,0,0,0
1,NN,NOTNEED6_1,sj12,0,0,0
1,UN,UNCNOT1_1,sj12,0,0,0
1,UN,UNCNOT2_1,sj12,0,0,0
2,UN,UNCNOT3_1,sj12,0,1,0
1,UN,UNCNOT4_1,sj12,0,0,0
2,UN,UNCNOT5_1,sj12,0,1,0
1,UN,UNCNOT6_1,sj12,0,0,0
2,UY,UNCNEED3_1,sj12,0,1,1
2,UY,UNCNEED5_1,sj12,0,1,1
2,YY,NEED3_1,sj12,0,1,1
2,YY,NEED5_1,sj12,0,1,1
1,NN,NOTNEED1_1.1,sj13,1,0,0
1,NN,NOTNEED2_1.1,sj13,1,0,0
1,NN,NOTNEED3_1.1,sj13,1,0,0
1,NN,NOTNEED4_1.1,sj13,1,0,0
1,NN,NOTNEED5_1.1,sj13,1,0,0
1,NN,NOTNEED6_1.1,sj13,1,0,0
1,UN,UNCNOT1_1.1,sj13,1,0,0
1,UN,UNCNOT2_1.1,sj13,1,0,0
1,UN,UNCNOT3_1.1,sj13,1,0,0
1,UN,UNCNOT4_1.1,sj13,1,0,0
1,UN,UNCNOT5_1.1,sj13,1,0,0
1,UN,UNCNOT6_1.1,sj13,1,0,0
2,UY,UNCNEED3_1.1,sj13,1,1,1
2,UY,UNCNEED5_1.1,sj13,1,1,1
2,YY,NEED3_1.1,sj13,1,1,1
2,YY,NEED5_1.1,sj13,1,1,1
1,NN,NOTNEED1_1,sj14,0,0,0
1,NN,NOTNEED2_1,sj14,0,0,0
1,NN,NOTNEED3_1,sj14,0,0,0
1,NN,NOTNEED4_1,sj14,0,0,0
1,NN,NOTNEED5_1,sj14,0,0,0
1,NN,NOTNEED6_1,sj14,0,0,0
2,UN,UNCNOT1_1,sj14,0,1,0
2,UN,UNCNOT2_1,sj14,0,1,0
2,UN,UNCNOT3_1,sj14,0,1,0
2,UN,UNCNOT4_1,sj14,0,1,0
2,UN,UNCNOT5_1,sj14,0,1,0
2,UN,UNCNOT6_1,sj14,0,1,0
2,UY,UNCNEED3_1,sj14,0,1,1
2,UY,UNCNEED5_1,sj14,0,1,1
2,YY,NEED3_1,sj14,0,1,1
2,YY,NEED5_1,sj14,0,1,1
1,NN,NOTNEED1_1.1,sj15,1,0,0
1,NN,NOTNEED2_1.1,sj15,1,0,0
1,NN,NOTNEED3_1.1,sj15,1,0,0
1,NN,NOTNEED4_1.1,sj15,1,0,0
1,NN,NOTNEED5_1.1,sj15,1,0,0
1,NN,NOTNEED6_1.1,sj15,1,0,0
2,UN,UNCNOT1_1.1,sj15,1,1,0
2,UN,UNCNOT2_1.1,sj15,1,1,0
1,UN,UNCNOT3_1.1,sj15,1,0,0
1,UN,UNCNOT4_1.1,sj15,1,0,0
2,UN,UNCNOT5_1.1,sj15,1,1,0
2,UN,UNCNOT6_1.1,sj15,1,1,0
2,UY,UNCNEED3_1.1,sj15,1,1,1
1,UY,UNCNEED5_1.1,sj15,1,0,1
2,YY,NEED3_1.1,sj15,1,1,1
2,YY,NEED5_1.1,sj15,1,1,1
1,NN,NOTNEED1_1.1,sj16,1,0,0
1,NN,NOTNEED2_1.1,sj16,1,0,0
1,NN,NOTNEED3_1.1,sj16,1,0,0
1,NN,NOTNEED4_1.1,sj16,1,0,0
1,NN,NOTNEED5_1.1,sj16,1,0,0
1,NN,NOTNEED6_1.1,sj16,1,0,0
1,UN,UNCNOT1_1.1,sj16,1,0,0
1,UN,UNCNOT2_1.1,sj16,1,0,0
1,UN,UNCNOT3_1.1,sj16,1,0,0
1,UN,UNCNOT4_1.1,sj16,1,0,0
1,UN,UNCNOT5_1.1,sj16,1,0,0
1,UN,UNCNOT6_1.1,sj16,1,0,0
2,UY,UNCNEED3_1.1,sj16,1,1,1
2,UY,UNCNEED5_1.1,sj16,1,1,1
2,YY,NEED3_1.1,sj16,1,1,1
2,YY,NEED5_1.1,sj16,1,1,1
1,NN,NOTNEED1_1.1,sj17,1,0,0
1,NN,NOTNEED2_1.1,sj17,1,0,0
1,NN,NOTNEED3_1.1,sj17,1,0,0
1,NN,NOTNEED4_1.1,sj17,1,0,0
1,NN,NOTNEED5_1.1,sj17,1,0,0
1,NN,NOTNEED6_1.1,sj17,1,0,0
1,UN,UNCNOT1_1.1,sj17,1,0,0
1,UN,UNCNOT2_1.1,sj17,1,0,0
1,UN,UNCNOT3_1.1,sj17,1,0,0
1,UN,UNCNOT4_1.1,sj17,1,0,0
1,UN,UNCNOT5_1.1,sj17,1,0,0
1,UN,UNCNOT6_1.1,sj17,1,0,0
2,UY,UNCNEED3_1.1,sj17,1,1,1
2,UY,UNCNEED5_1.1,sj17,1,1,1
2,YY,NEED3_1.1,sj17,1,1,1
2,YY,NEED5_1.1,sj17,1,1,1
1,NN,NOTNEED1_1.2,sj18,2,0,0
1,NN,NOTNEED2_1.2,sj18,2,0,0
1,NN,NOTNEED3_1.2,sj18,2,0,0
1,NN,NOTNEED4_1.2,sj18,2,0,0
1,NN,NOTNEED5_1.2,sj18,2,0,0
1,NN,NOTNEED6_1.2,sj18,2,0,0
1,UN,UNCNOT1_1.2,sj18,2,0,0
1,UN,UNCNOT2_1.2,sj18,2,0,0
1,UN,UNCNOT3_1.2,sj18,2,0,0
1,UN,UNCNOT4_1.2,sj18,2,0,0
1,UN,UNCNOT5_1.2,sj18,2,0,0
1,UN,UNCNOT6_1.2,sj18,2,0,0
2,UY,UNCNEED3_1.2,sj18,2,1,1
2,UY,UNCNEED5_1.2,sj18,2,1,1
2,YY,NEED3_1.2,sj18,2,1,1
2,YY,NEED5_1.2,sj18,2,1,1
1,NN,NOTNEED1_1,sj19,0,0,0
1,NN,NOTNEED2_1,sj19,0,0,0
1,NN,NOTNEED3_1,sj19,0,0,0
1,NN,NOTNEED4_1,sj19,0,0,0
1,NN,NOTNEED5_1,sj19,0,0,0
1,NN,NOTNEED6_1,sj19,0,0,0
1,UN,UNCNOT1_1,sj19,0,0,0
1,UN,UNCNOT2_1,sj19,0,0,0
2,UN,UNCNOT3_1,sj19,0,1,0
1,UN,UNCNOT4_1,sj19,0,0,0
1,UN,UNCNOT5_1,sj19,0,0,0
1,UN,UNCNOT6_1,sj19,0,0,0
2,UY,UNCNEED3_1,sj19,0,1,1
2,UY,UNCNEED5_1,sj19,0,1,1
2,YY,NEED3_1,sj19,0,1,1
2,YY,NEED5_1,sj19,0,1,1
1,NN,NOTNEED1_1.2,sj20,2,0,0
1,NN,NOTNEED2_1.2,sj20,2,0,0
1,NN,NOTNEED3_1.2,sj20,2,0,0
1,NN,NOTNEED4_1.2,sj20,2,0,0
1,NN,NOTNEED5_1.2,sj20,2,0,0
1,NN,NOTNEED6_1.2,sj20,2,0,0
2,UN,UNCNOT1_1.2,sj20,2,1,0
2,UN,UNCNOT2_1.2,sj20,2,1,0
1,UN,UNCNOT3_1.2,sj20,2,0,0
2,UN,UNCNOT4_1.2,sj20,2,1,0
1,UN,UNCNOT5_1.2,sj20,2,0,0
1,UN,UNCNOT6_1.2,sj20,2,0,0
2,UY,UNCNEED3_1.2,sj20,2,1,1
2,UY,UNCNEED5_1.2,sj20,2,1,1
2,YY,NEED3_1.2,sj20,2,1,1
2,YY,NEED5_1.2,sj20,2,1,1
1,NN,NOTNEED1_1,sj21,0,0,0
1,NN,NOTNEED2_1,sj21,0,0,0
2,NN,NOTNEED3_1,sj21,0,1,0
1,NN,NOTNEED4_1,sj21,0,0,0
1,NN,NOTNEED5_1,sj21,0,0,0
1,NN,NOTNEED6_1,sj21,0,0,0
